[I 2026-03-10 23:00:29,035] A new study created in RDB with name: respeaker_v3_ssz
[I 2026-03-10 23:56:36,655] Trial 73 finished with value: 0.4224618023587137 and parameters: {'window_ms': 100, 'overlap': 0.35, 'freq_low_hz': 950, 'freq_high_hz': 3300, 'epsilon': 0.2303381211778142, 'd_freq': 3}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:57:09,080] Trial 71 finished with value: 0.4212820141266684 and parameters: {'window_ms': 100, 'overlap': 0.75, 'freq_low_hz': 950, 'freq_high_hz': 3300, 'epsilon': 0.18827944083683482, 'd_freq': 3}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-10 23:58:01,369] Trial 72 finished with value: 0.4210905919854607 and parameters: {'window_ms': 100, 'overlap': 0.75, 'freq_low_hz': 950, 'freq_high_hz': 3400, 'epsilon': 0.2971991972876626, 'd_freq': 3}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-11 00:00:26,401] Trial 61 finished with value: 0.44688107149522993 and parameters: {'window_ms': 70, 'overlap': 0.8500000000000001, 'freq_low_hz': 900, 'freq_high_hz': 3900, 'epsilon': 0.29237485739921876, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-11 00:00:30,345] Trial 76 finished with value: 0.43678992835939184 and parameters: {'window_ms': 55, 'overlap': 0.45, 'freq_low_hz': 850, 'freq_high_hz': 3500, 'epsilon': 0.17139572347286194, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-11 00:00:36,344] Trial 62 finished with value: 0.4374874349092096 and parameters: {'window_ms': 25, 'overlap': 0.8500000000000001, 'freq_low_hz': 1050, 'freq_high_hz': 3900, 'epsilon': 0.28099869579416986, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-11 00:01:09,018] Trial 77 finished with value: 0.43678992835939184 and parameters: {'window_ms': 55, 'overlap': 0.45, 'freq_low_hz': 850, 'freq_high_hz': 3500, 'epsilon': 0.16816674348604338, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-11 00:02:51,950] Trial 75 finished with value: 0.4347687368663862 and parameters: {'window_ms': 115, 'overlap': 0.75, 'freq_low_hz': 750, 'freq_high_hz': 3400, 'epsilon': 0.17380956425795233, 'd_freq': 1}. Best is trial 14 with value: 0.44688512628927035.
[I 2026-03-11 00:02:53,811] Trial 74 finished with value: 0.44780966284873536 and parameters: {'window_ms': 95, 'overlap': 0.75, 'freq_low_hz': 750, 'freq_high_hz': 3400, 'epsilon': 0.17313746463927648, 'd_freq': 1}. Best is trial 74 with value: 0.44780966284873536.
[I 2026-03-11 00:10:41,193] Trial 78 finished with value: 0.4371871677521753 and parameters: {'window_ms': 50, 'overlap': 0.9, 'freq_low_hz': 850, 'freq_high_hz': 3500, 'epsilon': 0.126213750068286, 'd_freq': 1}. Best is trial 74 with value: 0.44780966284873536.
