acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.46875,30.67239635955267,,,0.0,1900,150,5.53125,37.59375,,0.75,3760,0.75,,0.625,2.4903968906437512,COMPLETE,88,0.37998850391238603,235
0.46875,30.67239635955267,,,0.0,1900,150,5.53125,37.59375,,0.75,3760,0.75,,0.625,2.5048329920100514,COMPLETE,89,0.37998850391238603,235
0.46875,30.63826243441361,,,0.0,1900,150,5.25,37.25,,0.75,3760,0.8500000000000001,,0.625,3.6219292175082956,COMPLETE,90,0.38033600372725446,235
0.46875,30.63826243441361,,,0.0,1900,150,5.25,37.25,,0.75,3760,0.8500000000000001,,0.625,3.6316791400604416,COMPLETE,91,0.38033600372725446,235
0.46875,30.63826243441361,,,0.0,1900,150,5.25,37.25,,0.75,3760,0.8500000000000001,,0.625,3.4391078544722404,COMPLETE,92,0.38033600372725446,235
0.5,23.6728805479498,,,0.0,1900,1000,7.28125,32.15625,,0.8125,3760,0.8500000000000001,,0.59375,2.129438194242539,COMPLETE,93,0.3793919729141941,235
0.5,24.09646547602988,,,0.0,1900,1050,7.09375,31.84375,,0.8125,3840,0.8500000000000001,,0.59375,2.0580524962279014,COMPLETE,94,0.37954891434903104,240
0.34375,30.3675241571897,,,0.0,1900,1000,5.96875,38.84375,,0.75,1840,0.45,,0.625,0.981822728906991,COMPLETE,95,0.35187855701943005,115
0.40625,30.467051234694505,,,0.0,1700,1050,0.21875,40.28125,,0.6875,3840,0.8500000000000001,,0.65625,1.5090157790109515,COMPLETE,96,0.40060560209099494,240
0.3125,29.787512458033483,,,0.0,1700,1000,1.96875,42.90625,,0.6875,1760,0.45,,0.65625,1.005071518040495,COMPLETE,97,0.36024137762111297,110
0.4375,30.94021452737521,,,0.0,1650,1150,0.0625,40.125,,0.6875,3600,0.8500000000000001,,0.65625,1.1250308282033075,COMPLETE,98,0.4123065123734191,225
0.4375,30.585944484354247,,,0.0,1650,1150,0.0625,39.75,,0.6875,3520,0.25,,0.65625,0.9888676716946065,COMPLETE,99,0.41239471222494367,220
0.34375,26.795649571105756,,,0.0,1700,200,2.21875,45.71875,,0.625,3600,0.8500000000000001,,0.6875,2.382617258321261,COMPLETE,100,0.3742283541773418,225
0.25,27.21722512950209,,,0.0,1700,200,1.75,45.6875,,0.625,3600,0.25,,0.6875,1.4187393092142884,COMPLETE,101,0.35569367195323304,225
0.40625,27.97320146139873,,,0.0,1650,1150,4.0625,44.25,,0.625,3600,0.9,,0.6875,1.4435555065865628,COMPLETE,102,0.3835731018590931,225
0.34375,28.020343474652485,,,0.0,1600,1100,3.84375,44.34375,,0.625,3520,0.9,,0.6875,1.421116848330712,COMPLETE,103,0.37016286032854584,220
0.46875,28.087127278345857,,,0.0,3100,1200,12.3125,43.1875,,0.875,3600,0.25,,0.5625,1.3770940614922438,COMPLETE,104,0.3602317133487499,225
0.40625,30.504098085339287,,,0.0,1700,1200,0.375,39.75,,0.6875,3600,0.25,,0.65625,0.8687137829256244,COMPLETE,105,0.39696849752358715,225
0.375,28.964889845293733,,,0.0,1700,1200,0.375,41.1875,,0.6875,3600,0.3,,0.65625,0.8995872356463224,COMPLETE,106,0.38994047473270593,225
0.375,27.388695204408698,,,0.0,1650,1150,4.25,43.75,,0.625,3600,0.25,,0.6875,0.9133430550573394,COMPLETE,107,0.37653262943471527,225
0.46875,31.95625366712281,,,0.0,1700,1200,3.53125,36.40625,,0.75,3520,0.9,,0.625,1.3464118829579093,COMPLETE,108,0.38286466018749665,220
0.375,27.388695204408698,,,0.0,1650,1150,4.25,43.75,,0.625,3600,0.25,,0.6875,0.8087958428659476,COMPLETE,109,0.37653262943471527,225
0.375,27.388695204408698,,,0.0,1650,1150,4.25,43.75,,0.625,3600,0.25,,0.6875,0.819645040523028,COMPLETE,110,0.37653262943471527,225
0.46875,20.011617719464862,,,0.0,2200,1200,13.1875,30.0625,,0.875,3520,0.3,,0.5625,1.090836270188447,COMPLETE,111,0.3637078940350342,220
0.46875,19.5408226541259,,,0.0,2200,1200,13.1875,30.125,,0.875,3520,0.25,,0.5625,0.9882620892603882,COMPLETE,112,0.3637539499897786,220
0.46875,19.510789282791713,,,0.0,2200,1100,13.40625,30.34375,,0.875,3520,0.25,,0.5625,1.0996503048227169,COMPLETE,113,0.3636481484790788,220
0.46875,20.542923812106203,,,0.0,2150,1150,12.75,29.8125,,0.875,3200,0.25,,0.5625,0.9221742847003043,COMPLETE,114,0.36380553649487724,200
0.46875,20.787593016929595,,,0.0,2150,1150,12.71875,29.90625,,0.875,3200,0.3,,0.5625,0.9734702698769979,COMPLETE,115,0.36375135293596883,200
0.46875,20.35342032067338,,,0.0,2200,1100,13.375,30.8125,,0.875,3200,0.3,,0.5625,1.0496911845984869,COMPLETE,116,0.3633977184027227,200
0.46875,20.531392693568062,,,0.0,2100,1100,13.09375,29.96875,,0.875,3200,0.3,,0.5625,1.0690551360603422,COMPLETE,117,0.363686950981428,200
0.46875,20.531392693568062,,,0.0,2100,1100,13.09375,29.96875,,0.875,3200,0.3,,0.5625,0.971673978259787,COMPLETE,118,0.363686950981428,200
0.46875,19.408841413129224,,,0.0,2200,1100,14.3125,31.5,,0.875,2160,0.9,,0.5625,1.9352861948427744,COMPLETE,119,0.3631579164379992,135
0.46875,19.912994344146238,,,0.0,2200,1100,13.9375,30.9375,,0.875,3200,0.35,,0.5625,1.1422729608311784,COMPLETE,120,0.3633152002570898,200
0.46875,20.531392693568062,,,0.0,2100,1100,13.09375,29.96875,,0.875,3200,0.3,,0.5625,1.0231283971806988,COMPLETE,121,0.363686950981428,200
0.28125,27.008389900177317,,,0.0,1500,1100,0.125,34.75,,0.8125,3920,0.3,,0.59375,0.8590171405812725,COMPLETE,122,0.36104627574988407,245
0.28125,27.008389900177317,,,0.0,1500,1100,0.125,34.75,,0.8125,3920,0.3,,0.59375,0.8789899106195662,COMPLETE,123,0.36104627574988407,245
0.28125,27.008389900177317,,,0.0,1500,1100,0.125,34.75,,0.8125,3920,0.3,,0.59375,0.8512936517363414,COMPLETE,124,0.36104627574988407,245
0.28125,27.008389900177317,,,0.0,1500,1100,0.125,34.75,,0.8125,3920,0.3,,0.59375,0.8169727390049957,COMPLETE,125,0.36104627574988407,245
0.3125,27.025667776208603,,,0.0,1500,1050,0.3125,34.6875,,0.8125,3920,0.3,,0.59375,0.7535502924292814,COMPLETE,126,0.3628552863277916,245
0.3125,26.71198744828808,,,0.0,1500,1050,2.34375,45.65625,,0.625,2000,0.35,,0.6875,0.824359785154229,COMPLETE,127,0.3669039053679531,125
0.25,22.516638813053337,,,0.0,1500,1050,6.21875,49.09375,,0.5625,2080,0.35,,0.71875,0.9321287875645794,COMPLETE,128,0.35525628161589307,130
0.53125,21.20139201650448,,,0.0,2000,1200,12.09375,29.59375,,0.875,3040,0.35,,0.5625,0.9687174131104257,COMPLETE,129,0.37768835025865294,190
0.46875,31.91590512581462,,,0.0,1750,1150,3.8125,36.125,,0.75,3680,0.9,,0.625,1.5115332336572465,COMPLETE,130,0.3824117519459162,230
0.46875,31.06946287655292,,,0.0,1800,1050,4.71875,37.40625,,0.75,2160,0.35,,0.625,0.863292475201888,COMPLETE,131,0.38087313145717205,135
0.4375,29.9236006356187,,,0.0,1800,1050,2.9375,35.0,,0.75,3680,0.35,,0.625,0.9468731230008416,COMPLETE,132,0.377753757710659,230
0.4375,29.9236006356187,,,0.0,1800,1050,2.9375,35.0,,0.75,3680,0.35,,0.625,0.8785218738776166,COMPLETE,133,0.377753757710659,230
0.40625,30.79504766902464,,,0.0,1800,1050,0.59375,38.53125,,0.6875,3680,0.9,,0.65625,1.9489611602621153,COMPLETE,134,0.3931851694688483,230
0.4375,31.217921035040114,,,0.0,1800,1200,0.1875,38.4375,,0.6875,3680,0.9,,0.65625,1.6199940884544048,COMPLETE,135,0.40863961225326284,230
0.4375,31.217921035040114,,,0.0,1800,1200,0.1875,38.4375,,0.6875,3680,0.9,,0.65625,1.6429651731450576,COMPLETE,136,0.40863961225326284,230
0.46875,31.91590512581462,,,0.0,1750,1150,3.8125,36.125,,0.75,3680,0.9,,0.625,1.6681681388581637,COMPLETE,137,0.3824117519459162,230
0.46875,31.91590512581462,,,0.0,1750,1150,3.8125,36.125,,0.75,3680,0.9,,0.625,1.694314977270551,COMPLETE,138,0.3824117519459162,230
0.46875,31.91590512581462,,,0.0,1750,1150,3.8125,36.125,,0.75,3680,0.9,,0.625,1.9354303541767877,COMPLETE,139,0.3824117519459162,230
0.46875,31.97397318034623,,,0.0,1700,1200,3.28125,36.03125,,0.75,3680,0.9,,0.625,1.4622763684601523,COMPLETE,140,0.3834603770222439,230
0.46875,31.900235108851472,,,0.0,1700,1200,3.6875,36.5,,0.75,3440,0.9,,0.625,1.523514091706602,COMPLETE,141,0.38255345707902094,215
0.46875,31.900235108851472,,,0.0,1700,1200,3.6875,36.5,,0.75,3440,0.9,,0.625,1.5139333448314574,COMPLETE,142,0.38255345707902094,215
0.34375,24.20063838904875,,,0.0,2000,1200,8.90625,42.34375,,0.9375,240,0.9,,0.53125,1.8552594870852772,COMPLETE,143,0.32652564394845807,15
0.40625,28.037206724948547,,,0.0,1650,1150,4.15625,44.21875,,0.625,3440,0.9,,0.6875,1.5726473341637757,COMPLETE,144,0.3834294600922948,215
0.4375,23.57184413527079,,,0.0,2000,950,8.03125,32.96875,,0.8125,3440,0.8500000000000001,,0.59375,2.3457509765285067,COMPLETE,145,0.36503442819769305,215
0.4375,23.64861171268834,,,0.0,2000,950,8.09375,33.03125,,0.8125,3440,0.9,,0.59375,2.932064385880949,COMPLETE,146,0.3649801631525044,215
0.40625,20.91965190765611,,,0.0,2000,1000,11.71875,28.96875,,0.875,3440,0.8500000000000001,,0.5625,2.084275848872494,COMPLETE,147,0.35051766041919735,215
0.5,24.009112853248034,,,0.0,2000,850,7.6875,32.875,,0.8125,3840,0.8500000000000001,,0.59375,2.4199931431212462,COMPLETE,148,0.3789414271442337,240
0.375,23.411047572406922,,,0.0,2000,850,10.78125,36.84375,,0.8125,320,0.8500000000000001,,0.59375,1.761334218783304,COMPLETE,149,0.34936235832877127,20
0.59375,21.700644431675297,,,0.0,2000,1200,11.125,27.8125,,0.875,3840,0.8500000000000001,,0.5625,1.8305724391539115,COMPLETE,150,0.39222921334872096,240
0.5,23.775787808977014,,,0.0,2000,900,7.90625,32.46875,,0.8125,3840,0.8500000000000001,,0.59375,2.5400389547576196,COMPLETE,151,0.37895842921441464,240
